name,email_address,start_date,last_login,user_id,manager_id
Ashley Hernandez,53eKZT.ADVCyrdyx@XhJ3.apv,2025-03-01,2025-03-23,1,6
Lisa Nelson,bi1G.JplfaQ@gAxUjEP.lws,2021-02-17,2025-02-27,2,10
Amanda Roberts,MaKNm4.eeDqxiD@xLsS.zqf,2020-06-19,2025-03-07,3,4
Jennifer Rodriguez,F2OmL2ZD.6cd6AA8j9@h9HAdPBYIS.9mc,2021-10-01,2025-02-14,4,10
Melissa Jackson,TLi9sDp.JQpR2VW@s9d4.hT,2024-03-21,2025-01-22,5,6
Dorothy Parker,U8GNwSh.0umWWF@LzXB.yp,2021-08-01,2025-03-02,6,7
Sandra Johnson,DT3oO7.nZ6g8Ih@0ow.udd,2021-09-02,2025-01-19,7,6
Ronald Hall,0mVqxy.HCGM@ESeH.A30,2024-03-02,2025-04-07,8,6
Daniel Turner,N8DI2A.8P3kEy@w3do.jyM,2023-11-19,2025-04-02,9,3
Amanda Nelson,vNBE69.xq85fL@FhCDsDs.qHD,2023-05-15,2025-01-14,10,4
Thomas Lee,CrGoVp.WrD@HAKQVan.cYx,2024-01-24,2025-03-13,11,10
John Smith,NpJT.bHY8P@7lRRrd.2x,2024-06-09,2025-01-26,12,5
Sarah Roberts,oBruW.APQ9s60@L0a.2TX,2024-03-16,2025-01-20,13,2
Richard Baker,he6Sgdw.e6hOf@vD4yJz4.zqn,2024-04-07,2025-03-29,14,7
John Roberts,2hdR.cJZUEzf@DLhMWJDixQ.jfR,2023-07-04,2025-01-22,15,2
Karen Roberts,DAVuc.KWf3qzb@LhiP5AzCS2.Qxu,2021-05-09,2025-02-05,16,9
Joshua Mitchell,ghBTFv.MeWPkxlR@Zi7bzGi.HZ0,2022-06-25,2025-02-10,17,7
Kevin King,hIiZX.Fv9t@bgl0iPH.VlQ,2020-11-04,2025-03-25,18,2
Melissa Hall,5Gx5EFg.6hET@B7C.wdj,2020-06-11,2025-01-21,19,4
Mark Adams,UVd1.MpHZt@2s3Mof.fnJ,2021-03-20,2025-02-13,16,6
Ashley Roberts,rwariT.BhhbUBP@plKt.Ls,2021-09-30,2025-01-16,17,1
Kenneth Baker,uFafMCY.qtP7l@joVOs8K.z0T,2022-02-22,2025-01-14,20,1
David Rodriguez,RB8E7.BPvwp3coJ@adXP.7O,2023-02-25,2025-04-04,21,5
Jessica Lopez,QrM7DZx.nuA6G@HrS1QHkrR.G6R,2024-10-07,2025-02-10,18,1
William Thomas,fhcR81n.hkBBHz@Toj5vbg.GEW,2021-08-11,2025-02-14,22,5
Sandra Clark,EYi2p2.WPA8W@KWrf.dF,2022-07-29,2025-04-04,23,2
Ronald Wright,b2buLY.OYWa34@bTGeGJboLX.vi5,2025-02-23,2025-04-03,24,10
